1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
2217	-0.288169	56.185423	0.728100	0.022267	1.3
2218	-0.291336	56.984492	0.720639	0.095997	1.2
2219	-0.238335	57.984490	0.711515	0.031013	1.4
2220	-0.281955	57.033785	0.720184	0.055308	1.3
2221	-0.278436	56.083080	0.729066	0.051150	1.7
2222	-0.270124	57.083070	0.719729	0.023476	1.8
2223	-0.280011	56.134327	0.728582	0.052967	1.8
2224	-0.261742	55.207866	0.737439	0.035523	1.6
2225	-0.284164	54.257556	0.746751	0.032874	1.5
2226	-0.320818	55.257556	0.736959	0.025080	1.4
2227	-0.282728	56.257544	0.727420	0.071217	1.5
2228	-0.280963	57.256022	0.718139	0.083679	1.4
2229	-0.296004	56.305317	0.726970	0.029137	1.2
2230	-0.258423	57.305317	0.717687	0.042434	1.2
2231	-0.280774	58.305317	0.708637	0.084199	1.3
2232	-0.294568	59.305317	0.699813	0.075839	1.3
2233	-0.301171	60.305317	0.691205	0.083068	1.3
2234	-0.278762	59.354612	0.699383	0.032744	1.7
2235	-0.288944	60.354612	0.690787	0.015996	1.4
2236	-0.260372	59.869697	0.694929	0.016903	1.8
2237	-0.272144	58.940194	0.703009	0.041865	1.5
2238	-0.287610	57.990455	0.711462	0.013091	1.4
2239	-0.268655	58.868150	0.703643	0.083397	1.2
2240	-0.269747	57.918462	0.712111	0.038218	1.4
2241	-0.259389	58.918462	0.703200	0.040763	1.5
2242	-0.300647	59.917881	0.694515	0.052717	1.3
2243	-0.245889	60.917879	0.686037	0.059220	1.5
2244	-0.304646	59.967174	0.694092	0.060352	1.8
2245	-0.269618	59.016469	0.702339	0.021366	1.6
2246	-0.267414	58.065766	0.710784	0.037052	1.6
2247	-0.309046	59.065759	0.701906	0.031931	1.5
2248	-0.268832	58.115081	0.710341	0.019145	1.4
2249	-0.279261	59.114576	0.701479	0.021168	1.5
2250	-0.266598	60.065464	0.693250	0.050300	1.4
2251	-0.272701	61.065315	0.684804	0.005834	1.3
2252	-0.278820	60.235868	0.691796	0.034522	1.2
2253	-0.267592	61.121592	0.684335	0.042946	1.4
2254	-0.288237	60.171071	0.692349	0.028088	1.3
2255	-0.292243	59.220786	0.700550	0.092850	1.5
2256	-0.281166	58.270081	0.708952	0.041292	1.2
2257	-0.280020	57.319375	0.717558	0.034982	1.3
2258	-0.269662	58.319375	0.708511	0.081216	1.5
2259	-0.291581	57.368670	0.717106	0.062022	1.3
2260	-0.295397	56.417965	0.725913	0.048711	1.3
2261	-0.274049	57.417965	0.716656	0.036267	1.5
2262	-0.264778	56.467440	0.725449	0.046209	1.7
2263	-0.279015	55.516735	0.734463	0.032655	3.8
2264	-0.261396	54.566029	0.743703	0.048809	1.5
2265	-0.310198	55.566029	0.733990	0.027740	1.4
2266	-0.274805	54.615324	0.743218	0.019177	1.3
2267	-0.277074	55.584373	0.733814	0.043548	1.3
2268	-0.236604	54.634606	0.743029	0.048566	1.3
2269	-0.285211	55.634606	0.733333	0.043750	1.3
2270	-0.301202	56.634606	0.723887	0.025923	1.3
2271	-0.299970	57.634606	0.714681	0.036549	1.4
2272	-0.278761	58.634514	0.705707	0.031618	1.4
2273	-0.264370	57.683809	0.714234	0.056278	1.5
2274	-0.270528	56.733103	0.722970	0.043890	1.5
2275	-0.295965	57.733103	0.713787	0.081751	1.5
2276	-0.283020	58.733103	0.704835	0.118482	1.5
2277	-0.299853	57.782398	0.713340	0.039380	1.5
2278	-0.269903	56.831693	0.722054	0.026072	1.4
2279	-0.278600	55.881003	0.730983	0.032260	1.4
2280	-0.306667	56.877940	0.721625	0.035547	1.2
2281	-0.281268	57.877940	0.712476	0.013304	1.3
2282	-0.297852	56.927587	0.721165	0.071969	4.1
2283	-0.306552	55.976962	0.730071	0.034710	1.7
2284	-0.258587	55.026257	0.739201	0.031082	1.8
2285	-0.315185	56.026257	0.729604	0.034873	1.3
2286	-0.303404	55.620543	0.733467	0.032350	1.5
2287	-0.306592	56.617575	0.724046	0.015522	1.3
2288	-0.281830	55.785984	0.731887	0.057689	1.4
2289	-0.236476	54.835279	0.741062	0.048114	1.3
2290	-0.271192	55.834967	0.731421	0.032860	1.3
2291	-0.332121	54.884262	0.740584	0.009527	1.4
2292	-0.287311	54.054660	0.748770	0.039847	1.6
2293	-0.283354	53.190895	0.757487	0.025631	1.3
2294	-0.261828	52.240284	0.767319	0.091316	1.3
2295	-0.267307	53.240284	0.756984	0.069873	1.2
2296	-0.295051	54.240284	0.746923	0.044185	1.4
2297	-0.305508	53.289579	0.756481	0.017055	1.5
